Timestamp,Age,Gender,Faculty,Year of study,Sleep(night),Exercise frequency,Frequent food,Fast food consumption frequency,Do you follow any specific diet?,Diet type,Weight,Weight(kg),Health conditions,Weekly spend for food,University canteen usage,Preferred Sri Lankan foods,Weekly spend for food,University canteen usage,,Preferred Sri Lankan foods,,,Diet goal,What is your height (cm) ?,Food allergies
28/10/2024 09:36:02,24-26,Female,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Fruits and vegetables",Once a week,No specific diet,None,40 - 49 kg,156cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Hoppers, Roti",Weight management,,,,,,,,
31/10/2024 13:34:26,24-26,Female,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,Milk mixed foods,60 - 69 kg,150cm,None,"Less than 1,000 LKR",Rarely/Never,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,4th year,More than 8 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,40 - 49 kg,157cm,"Gastritis, Hypertension","2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers",Manage health conditions,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,50 - 59 kg,168cm,Gastritis,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,Less than 5 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Daily,No specific diet,None,90 - 99 kg,161cm,None,"More than 3,000 LKR",Daily,"Rice and curry, Kottu",Better health,,,,,,,,
########,21-23,Female,FAS,3rd year,More than 8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,60 - 69 kg,160cm,None,"2,000 - 3,000 LKR",Daily,Kottu,Weight management,,,,,,,,
########,21-23,Female,FAS,3rd year,5-6 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,157cm,Gastritis,"1,000 - 2,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FLFN,3rd year,5-6 hours,1-2 times per week,"Fruits and vegetables, Chocolates",2-3 times a week,No specific diet,Canned salmon fish,50 - 59 kg,164 cm,None,"More than 3,000 LKR",Rarely/Never,Rice and curry,Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,5-6 hours,3-4 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,157cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers",Better health,,,,,,,,
########,21-23,Male,FAS,3rd year,Less than 5 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,70 - 79 kg,170cm,None,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,3-4 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Fruits and vegetables",2-3 times a week,No specific diet,None,70 - 79 kg,178 cm,Gastritis,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu",Manage health conditions,,,,,,,,
########,21-23,Female,FAS,3rd year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,Dairy,50 - 59 kg,162cm,Gastritis,"More than 3,000 LKR",Daily,Rice and curry,Weight management,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,50 - 59 kg,161cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,21-23,Male,FAS,3rd year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,175,None,"2,000 - 3,000 LKR",Daily,Rice and curry,Improve energy levels,,,,,,,,
########,24-26,Female,FAS,3rd year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fruits and vegetables",Once a week,Pescatarian ( does not eat meat but does eat fish),None,50 - 59 kg,150cm,None,"2,000 - 3,000 LKR",2-3 times a week,Rice and curry,Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,60 - 69 kg,176,Gastritis,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,21-23,Female,FAS,3rd year,5-6 hours,3-4 times per week,"Traditional Sri Lankan food, Fruits and vegetables",2-3 times a week,No specific diet,None,60 - 69 kg,160,None,"2,000 - 3,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Hoppers, Roti",Weight management,,,,,,,,
########,24-26,Male,FAPM,4th year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,Vegetarian,None,60 - 69 kg,158 CM,None,"2,000 - 3,000 LKR",2-3 times a week,Rice and curry,Manage health conditions,,,,,,,,
########,21-23,Female,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,40 - 49 kg,153 cm,Gastritis,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,50 - 59 kg,155cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, Kottu",Better health,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,60 - 69 kg,170,None,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Manage health conditions,,,,,,,,
########,24-26,Male,FAS,3rd year,Less than 5 hours,Never,Traditional Sri Lankan food,Daily,No specific diet,None,60 - 69 kg,156,None,"2,000 - 3,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,Less than 5 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,174,None,"1,000 - 2,000 LKR",Daily,Rice and curry,Manage health conditions,,,,,,,,
########,24-26,Male,FAS,3rd year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,160,None,"2,000 - 3,000 LKR",2-3 times a week,Kottu,Weight management,,,,,,,,
########,24-26,Male,FAS,3rd year,5-6 hours,1-2 times per week,"Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,60 - 69 kg,165,None,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu",Weight management,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Vegetarian/Vegan meals",2-3 times a week,No specific diet,None,50 - 59 kg,164,Gastritis,"2,000 - 3,000 LKR",2-3 times a week,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,40 - 49 kg,161 cm,None,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,21-23,Female,FAS,2nd year,Less than 5 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,Dairy,50 - 59 kg,152.4,None,"More than 3,000 LKR",2-3 times a week,"Rice and curry, Kottu, Hoppers, Roti",Weight management,,,,,,,,
########,24-26,Female,FAS,3rd year,5-6 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,148,Gastritis,"1,000 - 2,000 LKR",Daily,String hoppers,Weight management,,,,,,,,
########,21-23,Female,FAS,3rd year,5-6 hours,1-2 times per week,"Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,40 - 49 kg,164cm,Gastritis,"1,000 - 2,000 LKR",Once a week,Hoppers,Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,Less than 5 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,164 cm,Gastritis,"Less than 1,000 LKR",2-3 times a week,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,3rd year,5-6 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,40 - 49 kg,154cm,Gastritis,"1,000 - 2,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
########,21-23,Male,FOT,3rd year,Less than 5 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,40 - 49 kg,160,None,"More than 3,000 LKR",2-3 times a week,"String hoppers, Kottu, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,3rd year,Less than 5 hours,Daily,Traditional Sri Lankan food,2-3 times a week,No specific diet,Tomato,40 - 49 kg,152,Gastritis,"More than 3,000 LKR",Once a week,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,154cm,Gastritis,"1,000 - 2,000 LKR",Daily,Kottu,Weight management,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,160,None,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers",Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,160,None,"2,000 - 3,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
########,24-26,Male,FAS,3rd year,Less than 5 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,80 - 89 kg,175,None,"More than 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Weight management,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,153 cm,None,"More than 3,000 LKR",Rarely/Never,"Rice and curry, Hoppers",Weight management,,,,,,,,
########,24-26,Female,FAS,3rd year,Less than 5 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,100 kg or above,154,None,"Less than 1,000 LKR",Daily,Rice and curry,Manage health conditions,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables, Pastries",2-3 times a week,No specific diet,None,60 - 69 kg,180,Gastritis,"More than 3,000 LKR",Rarely/Never,Rice and curry,Better health,,,,,,,,
########,21-23,Female,FAS,2nd year,6-8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,70 - 79 kg,160 cm,None,"1,000 - 2,000 LKR",2-3 times a week,Rice and curry,Manage health conditions,,,,,,,,
########,21-23,Female,BSF,1st year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,130cm,Gastritis,"2,000 - 3,000 LKR",Daily,Rice and curry,Manage health conditions,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,60 - 69 kg,175,Gastritis,"More than 3,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAPM,4th year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,Pork and beef,50 - 59 kg,160,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Hoppers",Better health,,,,,,,,
########,24-26,Female,FAPM,4th year,6-8 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,40 - 49 kg,160,Gastritis,"Less than 1,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Roti",Better health,,,,,,,,
########,24-26,Male,FOT,3rd year,5-6 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,60 - 69 kg,170.6,None,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, Kottu, Hoppers, Roti",Improve energy levels,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Fruits and vegetables",2-3 times a week,Vegetarian,None,60 - 69 kg,165,None,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Fruits and vegetables",2-3 times a week,No specific diet,None,40 - 49 kg,157,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fruits and vegetables",Once a week,No specific diet,None,50 - 59 kg,150cm,None,"More than 3,000 LKR",Once a week,"Rice and curry, String hoppers, Kottu",Better health,,,,,,,,
########,21-23,Male,FOT,3rd year,6-8 hours,Daily,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,173,None,"1,000 - 2,000 LKR",Daily,"Rice and curry, String hoppers",Manage health conditions,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods)",2-3 times a week,Pescatarian ( does not eat meat but does eat fish),None,50 - 59 kg,152,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,50 - 59 kg,170,None,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,21-23,Female,FOT,3rd year,6-8 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,40 - 49 kg,152 cm,Gastritis,"1,000 - 2,000 LKR",Rarely/Never,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Daily,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods)",2-3 times a week,No specific diet,None,60 - 69 kg,154 cm,None,"1,000 - 2,000 LKR",Rarely/Never,"Rice and curry, Hoppers",Better health,,,,,,,,
########,21-23,Male,FOT,3rd year,5-6 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,40 - 49 kg,170cm,None,"2,000 - 3,000 LKR",Once a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Improve energy levels,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,"Fried rice , kottu",2-3 times a week,No specific diet,None,70 - 79 kg,180,None,"2,000 - 3,000 LKR",Daily,Kottu,Better health,,,,,,,,
########,21-23,Male,FOT,3rd year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,No specific diet,None,50 - 59 kg,166cm,Gastritis,"2,000 - 3,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,3-4 times per week,"Traditional Sri Lankan food, Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Never,No specific diet,None,50 - 59 kg,152,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Manage health conditions,,,,,,,,
########,21-23,Male,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza)",Once a week,No specific diet,None,60 - 69 kg,172,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Hoppers",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Daily,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,70 - 79 kg,164,Chronic Migraine,"1,000 - 2,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Weight management,,,,,,,,
########,21-23,Male,BSF,4th year,Less than 5 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,154 cm,Gastritis,"More than 3,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Hoppers, Roti, Parota",Better health,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods)",Once a week,No specific diet,None,60 - 69 kg,165cm,Gastritis,"More than 3,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,Sausages,70 - 79 kg,172cm,None,"2,000 - 3,000 LKR",Daily,Kottu,Weight management,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,60 - 69 kg,160 cm,None,"More than 3,000 LKR",Daily,Kottu,Weight management,,,,,,,,
########,24-26,Male,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,50 - 59 kg,187,Gastritis,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,Some sea foods,40 - 49 kg,150,None,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, Kottu, Hoppers, Roti",Weight management,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,Some meats,50 - 59 kg,175,None,"2,000 - 3,000 LKR",Once a week,"Rice and curry, String hoppers, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,3-4 times per week,"Traditional Sri Lankan food, Fruits and vegetables",2-3 times a week,No specific diet,None,60 - 69 kg,162,None,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Roti",Better health,,,,,,,,
########,21-23,Male,FAS,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Processed foods (e.g., instant noodles, frozen foods)",2-3 times a week,No specific diet,None,70 - 79 kg,155,None,"More than 3,000 LKR",2-3 times a week,Rice and curry,Better health,,,,,,,,
########,24-26,Female,BSF,2nd year,5-6 hours,Never,"Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables,",Daily,No specific diet,None,60 - 69 kg,152 cm,Gastritis,"2,000 - 3,000 LKR",2-3 times a week,"Rice and curry, Kottu, Hoppers, Roti, Fried Rice",Weight management,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,60 - 69 kg,167,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,60 - 69 kg,170,None,"2,000 - 3,000 LKR",Daily,Rice and curry,Weight management,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,40 - 49 kg,161cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,6-8 hours,1-2 times per week,Traditional Sri Lankan food,Once a week,Pescatarian ( does not eat meat but does eat fish),None,50 - 59 kg,160,Gastritis,"2,000 - 3,000 LKR",Daily,String hoppers,Better health,,,,,,,,
########,24-26,Male,FAS,4th year,6-8 hours,Never,Traditional Sri Lankan food,Never,No specific diet,Dryfish,50 - 59 kg,164,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
########,24-26,Female,FAS,4th year,5-6 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,60 - 69 kg,164,Gastritis,"1,000 - 2,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Weight management,,,,,,,,
